Category ID;Active (0/1);Name;Parent category;Root category (0/1);Meta title;Meta keywords;Meta description;URL rewritten
10;1;kobiety;;0;odzież damska;odzież damska;odzież damska;kobiety
11;1;mężczyźni;;0;odzież męska;odzież męska;odzież męska;mezczyzni
12;1;kurtki zimowe męskie;mezczyzni;0;kurtki zimowe męskie;kurtki zimowe męskie;kurtki zimowe męskie;kurtki-zimowe-meskie
13;1;kurtki zimowe damskie;kobiety;0;kurtki zimowe damskie;kurtki zimowe damskie;kurtki zimowe damskie;kurtki-zimowe-damskie
14;1;bluzy męskie;mezczyzni;0;bluzy męskie;bluzy męskie;bluzy męskie;bluzy-meskie
15;1;bluzy damskie;kobiety;0;bluzy damskie;bluzy damskie;bluzy damskie;bluzy-damskie
16;1;spodnie męskie;mezczyzni;0;spodnie męskie;spodnie męskie;spodnie męskie;spodnie-meskie
17;1;spodnie damskie;kobiety;0;spodnie damskie;spodnie damskie;spodnie damskie;spodnie-damskie
18;1;spodenki męskie;mezczyzni;0;spodenki męskie;spodenki męskie;spodenki męskie;spodenki-meskie
19;1;spodenki damskie;kobiety;0;spodenki damskie;spodenki damskie;spodenki damskie;spodenki-damskie
